Feature,Importance
PageValues,0.18292053663570693
ProductRelated_Duration,0.17564499484004129
Administrative_Duration,0.11155830753353975
Informational_Duration,0.05748194014447884
ProductRelated,0.05025799793601652
Month,0.006862745098039214
TrafficType,0.003482972136222895
Region,0.0011351909184726615
Browser,0.0007481940144478894
VisitorType,2.5799793601655184e-05
OperatingSystems,1.1102230246251566e-17
SpecialDay,0.0
BounceRates,0.0
ExitRates,0.0
Informational,-2.5799793601655184e-05
Weekend,-0.0001805985552115863
Administrative,-0.0005159958720330149
